"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2013', 'Quantity')","('Jun 2013', 'CIF (Baht)')","('Jan - Jun 2013', 'Quantity')","('Jan - Jun 2013', 'CIF (Baht)')"
AT,AUSTRIA,0,0,2750,207213
BE,BELGIUM,0,0,77,43197
CA,CANADA,60500,2915903,71500,3446985
JP,JAPAN,0,0,347,134271
KR,"KOREA,REPUBLIC OF",0,0,44002,2112816
NL,NETHERLANDS,0,0,25,8055
QA,QATAR,0,0,76500,3176243
SA,SAUDI ARABIA,131000,5597576,385750,16912938
SG,SINGAPORE,24750,1187779,24750,1187779
SK,SLOVAKIA,0,0,5,3733
AE,UNITED ARAB EMIRATES,0,0,200,39639
US,UNITED STATES,64800,3217597,258350,13939177
SUM,SUM,281050,12918855,864256,41212046
