"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2020', 'Quantity')","('Sept 2020', 'CIF (Baht)')","('Jan - Sept 2020', 'Quantity')","('Jan - Sept 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,108,45991
AT,AUSTRIA,0,0,2750,231487
BD,BANGLADESH,0,0,36,7135
BE,BELGIUM,11000,485274,408224,18861531
BR,BRAZIL,0,0,1100,189966
CA,CANADA,0,0,34250,2424630
CN,CHINA,285179,9849700,1723535,53482683
FR,FRANCE,0,0,49500,2270559
DE,GERMANY,0,0,32460,1699339
HK,HONG KONG,45,6646,54,8470
IN,INDIA,4200,9654706,6165,13292471
ID,INDONESIA,0,0,1,73
IT,ITALY,10000,1553999,209850,23092625
JP,JAPAN,235197,9999005,1991772,111047114
KR,"KOREA,REPUBLIC OF",1046400,39300488,13645823,578984829
MY,MALAYSIA,67795,2339431,291326,20381036
PT,PORTUGAL,0,0,54432,5921282
SA,SAUDI ARABIA,123750,4632634,841500,33136153
SG,SINGAPORE,8000,226881,163961,5652399
ES,SPAIN,0,0,5,2407
SE,SWEDEN,0,0,53200,2033716
TW,"TAIWAN, PROVINCE OF CHINA",114000,5099148,6919703,308393777
TH,THAILAND,0,0,22075,952926
GB,UNITED KINGDOM,0,0,20795,2068500
US,UNITED STATES,40000,2612579,1287977,64422274
VN,VIETNAM,21199,878985,87689,3575336
SUM,SUM,1966765,86639476,27848291,1252178709
