"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2019', 'Quantity')","('May 2019', 'CIF (Baht)')","('Jan - May 2019', 'Quantity')","('Jan - May 2019', 'CIF (Baht)')"
BR,BRAZIL,0,0,275,35400
CN,CHINA,52000,782134,59878,835947
DE,GERMANY,2520,4812675,6520,12867744
JP,JAPAN,32000,1548650,399211,6694972
KR,"KOREA,REPUBLIC OF",0,0,28000,1026306
MY,MALAYSIA,500,181292,1400,549489
NL,NETHERLANDS,0,0,3,2064
PH,PHILIPPINES,0,0,13,2530
SA,SAUDI ARABIA,321750,11153308,940500,32979236
UA,UKRAINE,0,0,5,1974
US,UNITED STATES,18005,1392559,54005,4146287
SUM,SUM,426775,19870618,1489810,59141949
