"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2017', 'Quantity')","('Apr 2017', 'CIF (Baht)')","('Jan - Apr 2017', 'Quantity')","('Jan - Apr 2017', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,45268,2537745
AT,AUSTRIA,20,6708,3715,571836
BE,BELGIUM,197900,9403450,593850,27879601
CA,CANADA,189,95894,189,111271
CN,CHINA,2043464,96763959,7572924,371136561
EG,EGYPT,0,0,50,18964
FI,FINLAND,0,0,70125,4070695
FR,FRANCE,0,0,32250,1130923
DE,GERMANY,0,0,44212,10124061
HU,HUNGARY,0,0,50,20767
IN,INDIA,20250,660766,1085169,38854942
ID,INDONESIA,23364,2953315,85067,9456829
IL,ISRAEL,0,0,72000,5072828
IT,ITALY,1211,210043,14226,1859970
JP,JAPAN,827212,57994919,3436634,222669360
KR,"KOREA,REPUBLIC OF",2296970,110498226,7734638,379336224
MY,MALAYSIA,43352,5909759,310398,41640975
NL,NETHERLANDS,0,0,159500,15733291
NZ,NEW ZEALAND,200,197731,897,992997
RU,RUSSIAN FEDERATION,0,0,180,91460
SA,SAUDI ARABIA,5000500,202303970,19647680,762099510
SG,SINGAPORE,1127280,55893280,4936153,247745725
SK,SLOVAKIA,0,0,9700,566710
ZA,SOUTH AFRICA,123750,4891571,222750,8606903
ES,SPAIN,0,0,22000,2027658
TW,"TAIWAN, PROVINCE OF CHINA",60989,3198643,254271,14523996
TH,THAILAND,11000,551572,53500,2879927
TR,TÜRKIYE,0,0,10,22684
UA,UKRAINE,22000,965330,47050,1961097
AE,UNITED ARAB EMIRATES,148500,6066931,1289175,52410189
US,UNITED STATES,53388,4071528,445525,26461506
VN,VIETNAM,53,48707,535562,23267841
SUM,SUM,12001592,562686302,48724718,2275885046
