"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2013', 'Quantity')","('Jul 2013', 'CIF (Baht)')","('Jan - Jul 2013', 'Quantity')","('Jan - Jul 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,326975,15673190
AT,AUSTRIA,0,0,680,1034378
BE,BELGIUM,160,110599,18741,2353834
CA,CANADA,0,0,15288,2347047
CN,CHINA,142481,8997041,1085443,46457295
FR,FRANCE,20140,1356651,153134,12361459
DE,GERMANY,47220,7008563,332036,54692494
HK,HONG KONG,1000,241190,11000,860454
IN,INDIA,0,0,5999,306058
ID,INDONESIA,32500,2355312,187778,14105337
IE,IRELAND,0,0,100,33009
IL,ISRAEL,0,0,1200,183867
IT,ITALY,3758,2213081,18378,3561012
JP,JAPAN,188872,37646515,1418519,268276609
KR,"KOREA,REPUBLIC OF",262875,16271198,1906263,121831196
MY,MALAYSIA,169500,15395722,1000505,89850621
NL,NETHERLANDS,100980,10696309,779208,79845898
PG,PAPUA NEW GUINEA,0,0,32,16384
PH,PHILIPPINES,0,0,50,64855
SA,SAUDI ARABIA,297000,13716884,1930500,85901452
SG,SINGAPORE,91752,8823386,585691,58012394
ES,SPAIN,0,0,26125,2061640
CH,SWITZERLAND,0,0,2000,1464763
TW,"TAIWAN, PROVINCE OF CHINA",34192,3326094,579360,39269778
TR,TÜRKIYE,20,39394,20,39394
GB,UNITED KINGDOM,89080,8882107,410652,41950534
US,UNITED STATES,37215,5469677,341419,49681138
VN,VIETNAM,50,40755,185,124190
SUM,SUM,1518795,142590478,11137281,992360280
