"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2012', 'Quantity')","('Jan 2012', 'CIF (Baht)')","('Jan - Jan 2012', 'Quantity')","('Jan - Jan 2012', 'CIF (Baht)')"
CN,CHINA,113600,9810912,113600,9810912
FR,FRANCE,86,40392,86,40392
DE,GERMANY,7015,2154802,7015,2154802
HK,HONG KONG,16,201948,16,201948
IT,ITALY,1000,79210,1000,79210
JP,JAPAN,318615,58003730,318615,58003730
KR,"KOREA,REPUBLIC OF",377725,21828769,377725,21828769
KW,KUWAIT,99000,4263230,99000,4263230
MY,MALAYSIA,64000,7638301,64000,7638301
NL,NETHERLANDS,230100,23297514,230100,23297514
NO,NORWAY,16,10363,16,10363
SA,SAUDI ARABIA,297000,13160001,297000,13160001
SG,SINGAPORE,86840,9212754,86840,9212754
ES,SPAIN,371250,16337197,371250,16337197
TW,"TAIWAN, PROVINCE OF CHINA",4400,347017,4400,347017
TH,THAILAND,1900,224351,1900,224351
AE,UNITED ARAB EMIRATES,148500,6488200,148500,6488200
GB,UNITED KINGDOM,40500,4470769,40500,4470769
US,UNITED STATES,111456,19900568,111456,19900568
VN,VIETNAM,30046,2403081,30046,2403081
SUM,SUM,2303065,199873109,2303065,199873109
