"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2022', 'Quantity')","('Jul 2022', 'CIF (Baht)')","('Jan - Jul 2022', 'Quantity')","('Jan - Jul 2022', 'CIF (Baht)')"
BE,BELGIUM,0,0,24750,1458760
BR,BRAZIL,0,0,16500,1779102
CN,CHINA,19,11255,23302,1186791
CZ,CZECH REPUBLIC,0,0,0,415
IN,INDIA,0,0,10,1542
ID,INDONESIA,0,0,1,493
JP,JAPAN,18105,1642113,83106,6697646
KR,"KOREA,REPUBLIC OF",0,0,325,99199
QA,QATAR,357000,17365434,535500,26325416
SA,SAUDI ARABIA,247500,12564023,1701450,75934364
SG,SINGAPORE,49500,2618716,247500,11983953
TW,"TAIWAN, PROVINCE OF CHINA",0,0,21,12018
US,UNITED STATES,0,0,51000,3187082
VN,VIETNAM,75,14569,125,25549
SUM,SUM,672199,34216110,2683590,128692330
