"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2016', 'Quantity')","('May 2016', 'CIF (Baht)')","('Jan - May 2016', 'Quantity')","('Jan - May 2016', 'CIF (Baht)')"
AU,AUSTRALIA,12000,920763,14400,1192666
AT,AUSTRIA,0,0,240,150731
BE,BELGIUM,0,0,254000,11816333
BR,BRAZIL,0,0,20,10387
CA,CANADA,100000,4393624,300000,12829528
CN,CHINA,65850,10309907,225553,35210813
FR,FRANCE,11025,538623,285600,14551826
DE,GERMANY,20794,6319136,55626,9755623
HK,HONG KONG,525,87229,5425,676569
IN,INDIA,12,2672,7687,566562
ID,INDONESIA,2000,175745,71250,7785100
IT,ITALY,0,0,30402,2242753
JP,JAPAN,1070514,68737381,6120664,376779185
KR,"KOREA,REPUBLIC OF",250700,11766634,1600325,72398355
MY,MALAYSIA,24000,1113520,207450,8124943
NL,NETHERLANDS,35750,1852484,375362,21844954
SA,SAUDI ARABIA,222750,8252428,1113750,39919437
SG,SINGAPORE,4648875,206913215,22956980,1000576334
ZA,SOUTH AFRICA,0,0,297000,9319360
ES,SPAIN,0,0,16660,1665749
TW,"TAIWAN, PROVINCE OF CHINA",50000,2624111,513545,23050644
TH,THAILAND,0,0,15000,333300
TR,TÜRKIYE,2275,140134,2518,167391
AE,UNITED ARAB EMIRATES,308100,12499868,2041425,73808747
US,UNITED STATES,42035,4825537,182222,17787206
SUM,SUM,6867205,341473011,36693104,1742564496
