"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2017', 'Quantity')","('Jan 2017', 'CIF (Baht)')","('Jan - Jan 2017', 'Quantity')","('Jan - Jan 2017', 'CIF (Baht)')"
AU,AUSTRALIA,1000,132429,1000,132429
AT,AUSTRIA,235,78782,235,78782
BE,BELGIUM,11250,1852563,11250,1852563
CA,CANADA,1660,529406,1660,529406
CN,CHINA,504200,21887312,504200,21887312
FR,FRANCE,1407,526893,1407,526893
DE,GERMANY,906,334324,906,334324
HK,HONG KONG,0,2160,0,2160
IN,INDIA,33600,2329666,33600,2329666
IT,ITALY,2800,1080916,2800,1080916
JP,JAPAN,248141,26041035,248141,26041035
KR,"KOREA,REPUBLIC OF",206300,11417774,206300,11417774
MY,MALAYSIA,60660,3730252,60660,3730252
NL,NETHERLANDS,20,11334,20,11334
QA,QATAR,408050,17067037,408050,17067037
SA,SAUDI ARABIA,256500,11286405,256500,11286405
SG,SINGAPORE,2331000,111693752,2331000,111693752
TW,"TAIWAN, PROVINCE OF CHINA",116540,7915535,116540,7915535
UA,UKRAINE,24400,1118207,24400,1118207
AE,UNITED ARAB EMIRATES,97980,3582959,97980,3582959
GB,UNITED KINGDOM,1600,453048,1600,453048
US,UNITED STATES,375204,31935495,375204,31935495
VN,VIETNAM,80,16264,80,16264
SUM,SUM,4683533,255023548,4683533,255023548
