"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2013', 'Quantity')","('Apr 2013', 'CIF (Baht)')","('Jan - Apr 2013', 'Quantity')","('Jan - Apr 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,7,1737
CN,CHINA,39000,2475424,67500,4100387
DE,GERMANY,0,0,24750,1594471
IL,ISRAEL,11180,823175,11180,823175
JP,JAPAN,6000,428240,36191,3646503
KR,"KOREA,REPUBLIC OF",0,0,36000,1760757
NL,NETHERLANDS,2,1206,49502,3236268
QA,QATAR,51000,2251305,127500,5628664
SA,SAUDI ARABIA,32000,1416940,32000,1416940
SG,SINGAPORE,0,0,58,53320
TH,THAILAND,0,0,2250,359978
US,UNITED STATES,0,0,9072,2622705
SUM,SUM,139182,7396290,396010,25244905
