"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2022', 'Quantity')","('Apr 2022', 'CIF (Baht)')","('Jan - Apr 2022', 'Quantity')","('Jan - Apr 2022', 'CIF (Baht)')"
CA,CANADA,0,0,100000,4152826
CN,CHINA,151750,7298893,221250,12901722
DE,GERMANY,0,0,1500,525563
JP,JAPAN,46125,5282434,118050,13399105
KR,"KOREA,REPUBLIC OF",1043800,96501719,2014550,186738234
NL,NETHERLANDS,117750,9003235,294500,19389691
QA,QATAR,0,0,127500,6315465
SA,SAUDI ARABIA,222200,9841750,951650,43677896
SG,SINGAPORE,1494250,98198390,6268595,384278586
ES,SPAIN,17600,1987032,132000,13312161
AE,UNITED ARAB EMIRATES,693400,34319600,2108275,100073080
US,UNITED STATES,692665,40210778,2290415,124846138
VN,VIETNAM,300,50466,300,50466
SUM,SUM,4479840,302694297,14628585,909660933
