"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2012', 'Quantity')","('Nov 2012', 'CIF (Baht)')","('Jan - Nov 2012', 'Quantity')","('Jan - Nov 2012', 'CIF (Baht)')"
CN,CHINA,0,0,287492,11600321
HK,HONG KONG,0,0,20956,1034032
IN,INDIA,0,0,106500,5436005
ID,INDONESIA,44750,3821326,557130,39350005
IL,ISRAEL,0,0,360,37150
JP,JAPAN,12235,459698,105185,6099086
KR,"KOREA,REPUBLIC OF",0,1100,478200,24294191
KW,KUWAIT,123750,5306293,2252250,91149560
MY,MALAYSIA,198000,8581683,8023837,351664579
QA,QATAR,102000,4184880,2907000,115242654
SA,SAUDI ARABIA,1707750,74308825,20217790,840615050
SG,SINGAPORE,170250,8114350,1383150,64486218
TW,"TAIWAN, PROVINCE OF CHINA",50000,2173185,74000,3184365
TH,THAILAND,0,0,61,15986
TR,TÜRKIYE,0,0,12,4711
AE,UNITED ARAB EMIRATES,569250,24088236,8205250,348145709
US,UNITED STATES,278700,13562579,3108374,146993329
SUM,SUM,3256685,144602155,47727547,2049352951
