"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2014', 'Quantity')","('Apr 2014', 'CIF (Baht)')","('Jan - Apr 2014', 'Quantity')","('Jan - Apr 2014', 'CIF (Baht)')"
AU,AUSTRALIA,30000,1822493,250000,15232301
AT,AUSTRIA,0,0,300,498524
BE,BELGIUM,100,89896,1320,478442
CA,CANADA,0,0,35666,5791453
CN,CHINA,153960,8917740,677849,40068443
CZ,CZECH REPUBLIC,2,2288,2,2288
EC,ECUADOR,0,0,2,2012
FR,FRANCE,62488,4658277,143343,13246880
DE,GERMANY,2545,1300883,86691,19035736
HK,HONG KONG,47,33251,47,33251
IN,INDIA,0,0,16650,1355348
ID,INDONESIA,0,0,43550,4452145
IE,IRELAND,0,0,100,39664
IL,ISRAEL,0,0,8600,799335
IT,ITALY,2,1333,1232,128967
JP,JAPAN,175276,38117331,617374,135141189
KR,"KOREA,REPUBLIC OF",283875,21609902,1069420,79767709
MY,MALAYSIA,146080,13019369,584715,53471116
NL,NETHERLANDS,131830,15067053,620957,71660626
SA,SAUDI ARABIA,247500,12498896,1147750,58577059
SG,SINGAPORE,233600,27708517,468600,55963710
ES,SPAIN,1075,145872,88525,7233931
CH,SWITZERLAND,0,0,0,8420
TW,"TAIWAN, PROVINCE OF CHINA",41075,3895343,333803,25199211
TH,THAILAND,0,0,275,1574
TR,TÜRKIYE,0,0,250,108745
AE,UNITED ARAB EMIRATES,0,0,2000,150654
US,UNITED STATES,115937,13115240,276603,36942849
SUM,SUM,1625392,162003684,6475624,625391582
