"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2014', 'Quantity')","('Sept 2014', 'CIF (Baht)')","('Jan - Sept 2014', 'Quantity')","('Jan - Sept 2014', 'CIF (Baht)')"
AU,AUSTRALIA,23980,522641,48090,1048643
BD,BANGLADESH,0,32,0,32
CN,CHINA,12000,800000,24000,1613364
FR,FRANCE,2,1800,24,10897
IN,INDIA,0,0,144216,6999751
JP,JAPAN,0,0,6600,337453
MY,MALAYSIA,1406,246304,4726,796699
NL,NETHERLANDS,0,0,2200,148877
SG,SINGAPORE,51000,2664424,153000,7933176
TW,"TAIWAN, PROVINCE OF CHINA",0,0,10000,564523
US,UNITED STATES,0,0,4622,1326939
SUM,SUM,88388,4235201,397478,20780354
