"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2019', 'Quantity')","('Jun 2019', 'CIF (Baht)')","('Jan - Jun 2019', 'Quantity')","('Jan - Jun 2019', 'CIF (Baht)')"
CA,CANADA,5000,751150,8750,1339038
CN,CHINA,2222,1098110,12023,5739171
HK,HONG KONG,4,1167,4,1167
JP,JAPAN,0,0,74026,13141040
NL,NETHERLANDS,0,0,500,90946
SG,SINGAPORE,0,0,9003,4047080
TW,"TAIWAN, PROVINCE OF CHINA",0,0,61,5634
TR,TÜRKIYE,30,961,30,961
GB,UNITED KINGDOM,0,0,139,77949
US,UNITED STATES,104000,3694334,104228,3733546
SUM,SUM,111256,5545722,208764,28176532
