"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2013', 'Quantity')","('Apr 2013', 'CIF (Baht)')","('Jan - Apr 2013', 'Quantity')","('Jan - Apr 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,100,28405
BE,BELGIUM,149900,8114003,238451,13140335
BR,BRAZIL,17000,880105,17000,880105
CA,CANADA,0,0,12000,638477
CN,CHINA,61114,3047468,137905,6808457
FR,FRANCE,0,0,11000,858174
DE,GERMANY,24000,2057644,88500,7756143
HK,HONG KONG,0,0,244,24657
ID,INDONESIA,200,7192,10226,814292
IT,ITALY,8000,902208,14800,1842619
JP,JAPAN,84430,7010875,331051,27162488
KR,"KOREA,REPUBLIC OF",118300,6262894,608750,29866336
MY,MALAYSIA,107585,5158394,822544,33543354
MX,MEXICO,15827,1901221,17800,2168116
NL,NETHERLANDS,0,0,1,1487
SG,SINGAPORE,550,103376,43550,1833009
SE,SWEDEN,0,0,0,5481
CH,SWITZERLAND,10000,1113259,20000,2228919
TW,"TAIWAN, PROVINCE OF CHINA",75500,4470076,483775,27685878
GB,UNITED KINGDOM,0,0,150,62821
US,UNITED STATES,650,61450,58030,5553451
VN,VIETNAM,82880,1303014,223870,4199091
SUM,SUM,755936,42393179,3139747,167102095
