"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2016', 'Quantity')","('Mar 2016', 'CIF (Baht)')","('Jan - Mar 2016', 'Quantity')","('Jan - Mar 2016', 'CIF (Baht)')"
AT,AUSTRIA,6225,715312,6600,836582
BE,BELGIUM,63400,6664427,238400,18936919
BR,BRAZIL,0,0,0,3998
CA,CANADA,7250,1875970,15250,3955367
CN,CHINA,626291,31003446,1350729,67305101
EG,EGYPT,0,0,388,34830
FR,FRANCE,11200,1107256,12050,1554086
DE,GERMANY,24670,1783480,46485,4015345
HK,HONG KONG,75,32454,75,32454
IN,INDIA,1100,281905,20775,2142571
ID,INDONESIA,0,0,100,34276
IT,ITALY,1700,687702,5100,2053234
JP,JAPAN,463108,52249045,1235492,128624727
KR,"KOREA,REPUBLIC OF",161150,8614205,440440,23820925
MY,MALAYSIA,81000,4978392,242370,15218234
NL,NETHERLANDS,0,0,200,40116
PH,PHILIPPINES,1100,8710,1100,8710
QA,QATAR,408000,15934469,1479000,60444971
SA,SAUDI ARABIA,467100,18755573,649350,26250133
SG,SINGAPORE,1854425,100773071,4935929,274307364
ES,SPAIN,22000,1939532,30800,2678578
CH,SWITZERLAND,0,0,0,1984
TW,"TAIWAN, PROVINCE OF CHINA",199414,10415961,674768,33414272
TH,THAILAND,2025,95686,2196,152086
UA,UKRAINE,0,0,4350,552359
AE,UNITED ARAB EMIRATES,364575,14414824,1454125,58458838
GB,UNITED KINGDOM,1100,289028,2600,689024
US,UNITED STATES,345336,37858206,2513468,203317191
VN,VIETNAM,225,41362,285,53976
SUM,SUM,5112469,310520016,15362425,928938251
