"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2014', 'Quantity')","('Mar 2014', 'CIF (Baht)')","('Jan - Mar 2014', 'Quantity')","('Jan - Mar 2014', 'CIF (Baht)')"
AU,AUSTRALIA,5500,519741,8740,852448
AT,AUSTRIA,450,206542,1400,668371
BE,BELGIUM,21850,2423287,99976,7919851
CA,CANADA,51500,3011418,256500,14326418
CN,CHINA,392302,20421250,1059040,51200853
FI,FINLAND,0,0,49500,3315974
DE,GERMANY,163411,12621135,314637,24922167
GR,GREECE,1375,140165,1375,140165
HK,HONG KONG,0,0,79090,1213731
IN,INDIA,24500,1813873,24510,1815463
ID,INDONESIA,0,0,25,6381
JP,JAPAN,404897,41519707,1311152,138913803
KR,"KOREA,REPUBLIC OF",100690,7413130,420635,30891964
MY,MALAYSIA,80175,6470032,167960,13403145
NL,NETHERLANDS,24750,1788857,24775,1803802
QA,QATAR,459000,23365966,459000,23365966
SA,SAUDI ARABIA,315450,16378434,2338650,120399054
SG,SINGAPORE,1910280,114188808,4729990,281337593
LK,SRI LANKA,0,0,1,146
CH,SWITZERLAND,0,1932,0,1932
TW,"TAIWAN, PROVINCE OF CHINA",112000,7401745,460230,29564508
TH,THAILAND,1600,217531,4200,585880
AE,UNITED ARAB EMIRATES,197750,10563832,655300,35799979
GB,UNITED KINGDOM,0,0,2900,351891
US,UNITED STATES,820339,76609212,2911894,236340598
VN,VIETNAM,11050,905147,38050,3255697
SUM,SUM,5098869,347981744,15419530,1022397780
