"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2013', 'Quantity')","('May 2013', 'CIF (Baht)')","('Jan - May 2013', 'Quantity')","('Jan - May 2013', 'CIF (Baht)')"
BE,BELGIUM,0,0,10000,942780
CN,CHINA,0,0,40500,3176936
IT,ITALY,7875,1141051,36075,5087184
KR,"KOREA,REPUBLIC OF",10200,810933,237343,17899140
MY,MALAYSIA,0,0,2000,182070
PH,PHILIPPINES,0,0,3000,551862
GB,UNITED KINGDOM,3000,218561,19500,1705466
US,UNITED STATES,0,0,10000,1067183
VN,VIETNAM,600,138769,1200,280137
SUM,SUM,21675,2309314,359618,30892758
