"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2017', 'Quantity')","('Aug 2017', 'CIF (Baht)')","('Jan - Aug 2017', 'Quantity')","('Jan - Aug 2017', 'CIF (Baht)')"
BE,BELGIUM,48000,4642314,60000,5809960
FR,FRANCE,0,0,4125,229556
JP,JAPAN,7000,2597086,10703,3060871
KR,"KOREA,REPUBLIC OF",26600,1260801,51000,2441176
MY,MALAYSIA,25050,946266,200050,7616699
SA,SAUDI ARABIA,550,27825,124125,4978392
SG,SINGAPORE,876000,33429217,6275053,256962028
SE,SWEDEN,0,0,1375,90457
TH,THAILAND,0,0,200,1265
AE,UNITED ARAB EMIRATES,22750,997516,256750,11812838
GB,UNITED KINGDOM,2850,328750,4850,569418
US,UNITED STATES,309570,19130745,823846,54794294
SUM,SUM,1318370,63360520,7812077,348366954
