"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2014', 'Quantity')","('Jan 2014', 'CIF (Baht)')","('Jan - Jan 2014', 'Quantity')","('Jan - Jan 2014', 'CIF (Baht)')"
AU,AUSTRALIA,64000,2101952,64000,2101952
CN,CHINA,28000,1176106,28000,1176106
FR,FRANCE,11000,863719,11000,863719
DE,GERMANY,12140,7148731,12140,7148731
GT,GUATEMALA,25,36357,25,36357
JP,JAPAN,1553844,98846428,1553844,98846428
KR,"KOREA,REPUBLIC OF",34075,1821398,34075,1821398
KW,KUWAIT,643500,32114869,643500,32114869
MY,MALAYSIA,401012,22157919,401012,22157919
QA,QATAR,1411540,74733847,1411540,74733847
SA,SAUDI ARABIA,2959750,148723857,2959750,148723857
SG,SINGAPORE,868290,45184972,868290,45184972
TW,"TAIWAN, PROVINCE OF CHINA",24130,812042,24130,812042
AE,UNITED ARAB EMIRATES,1287000,63872032,1287000,63872032
US,UNITED STATES,104677,9334349,104677,9334349
SUM,SUM,9402983,508928578,9402983,508928578
