"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2018', 'Quantity')","('Aug 2018', 'CIF (Baht)')","('Jan - Aug 2018', 'Quantity')","('Jan - Aug 2018', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,400,125200
BE,BELGIUM,6875,366913,30875,2705186
CN,CHINA,0,0,256000,16339977
FI,FINLAND,0,0,25,2845
IT,ITALY,22000,3850019,22275,3880460
JP,JAPAN,4000,1351396,5006,1439531
KR,"KOREA,REPUBLIC OF",219908,17047129,965764,65053627
MY,MALAYSIA,20900,1459159,208200,11926625
NZ,NEW ZEALAND,0,0,1871,1021525
SA,SAUDI ARABIA,0,0,22000,1035847
SG,SINGAPORE,0,0,50,8607
ES,SPAIN,5000,1289772,10800,2795155
SE,SWEDEN,50000,3809684,50000,3809684
AE,UNITED ARAB EMIRATES,168000,8332171,908500,45357510
US,UNITED STATES,65408,5490562,1000070,66454837
VN,VIETNAM,2040,150642,13600,799721
SUM,SUM,564131,43147447,3495436,222756337
