"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2022', 'Quantity')","('Oct 2022', 'CIF (Baht)')","('Jan - Oct 2022', 'Quantity')","('Jan - Oct 2022', 'CIF (Baht)')"
AT,AUSTRIA,200,313820,2634,4245640
BD,BANGLADESH,0,0,34,7801
BE,BELGIUM,13600,1412800,47259,5554743
BZ,BELIZE,0,0,764,266807
BR,BRAZIL,191,85880,2483,930570
CA,CANADA,0,0,112,212353
CN,CHINA,352800,22093883,1882588,137878102
FR,FRANCE,105400,8415141,253349,20018866
DE,GERMANY,51908,11920791,2099739,172016814
HK,HONG KONG,250,69136,255200,24983046
IN,INDIA,0,0,1287,148809
ID,INDONESIA,0,0,45069,5295713
IT,ITALY,0,0,16340,3505834
JP,JAPAN,183866,36858014,1863875,333597987
KR,"KOREA,REPUBLIC OF",140200,12331813,3359183,250802062
MY,MALAYSIA,99260,8403172,1202158,105059699
NL,NETHERLANDS,140006,13430657,986306,97073103
NO,NORWAY,0,0,480,191411
SA,SAUDI ARABIA,495000,19078571,1530025,63149506
SG,SINGAPORE,50025,11345884,428742,70382662
ES,SPAIN,0,0,0,991
TW,"TAIWAN, PROVINCE OF CHINA",100,39741,3938,3274610
TH,THAILAND,100,20995,514,84960
AE,UNITED ARAB EMIRATES,123750,5298835,2555190,148935220
GB,UNITED KINGDOM,10020,1641564,62218,9466863
US,UNITED STATES,78192,13079341,914040,163983907
VN,VIETNAM,4025,435185,23829,2393959
SUM,SUM,1848893,166275223,17537356,1623462038
