"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2022', 'Quantity')","('Mar 2022', 'CIF (Baht)')","('Jan - Mar 2022', 'Quantity')","('Jan - Mar 2022', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,2081,792218
BE,BELGIUM,77000,6296685,172150,14543415
CA,CANADA,2250,816396,108875,7509127
CN,CHINA,1060943,46914756,2660481,132207300
FI,FINLAND,25,18143,25,18143
FR,FRANCE,0,0,189,99214
DE,GERMANY,42800,4750333,86230,9875856
HK,HONG KONG,4,1011,4,1011
IN,INDIA,1040,152828,1240,209790
ID,INDONESIA,0,0,500,46957
IT,ITALY,2000,811727,4000,1634491
JP,JAPAN,208099,30581221,693230,89617220
KR,"KOREA,REPUBLIC OF",538250,36823459,1132825,89385894
MY,MALAYSIA,40400,2741778,121305,8673877
NL,NETHERLANDS,2000,485768,6125,1041909
NZ,NEW ZEALAND,40,23040,315,245342
QA,QATAR,0,0,25500,1386561
SA,SAUDI ARABIA,0,0,321750,17223488
SG,SINGAPORE,420755,29107120,1861000,111599893
CH,SWITZERLAND,0,0,150,246638
TW,"TAIWAN, PROVINCE OF CHINA",1340,427809,18790,2868858
TH,THAILAND,8800,930301,8800,930301
AE,UNITED ARAB EMIRATES,98800,3999486,266975,12834770
GB,UNITED KINGDOM,393,352080,15693,1795807
US,UNITED STATES,518579,52008595,2549736,212897171
VN,VIETNAM,10579,1495987,33792,3221462
SUM,SUM,3034097,218738523,10091761,720906713
