"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2022', 'Quantity')","('Jul 2022', 'CIF (Baht)')","('Jan - Jul 2022', 'Quantity')","('Jan - Jul 2022', 'CIF (Baht)')"
AT,AUSTRIA,100,169350,2322,3813336
BD,BANGLADESH,0,0,34,7801
BE,BELGIUM,120,71857,33650,4137480
BZ,BELIZE,0,0,764,266807
BR,BRAZIL,382,138506,2101,774275
CA,CANADA,0,0,12,136704
CN,CHINA,262555,16317287,1129314,88933125
FR,FRANCE,19040,1603535,147949,11603725
DE,GERMANY,385074,23698287,1637277,121546069
HK,HONG KONG,4800,1463967,254525,24809305
IN,INDIA,0,0,28,5313
ID,INDONESIA,0,0,22569,2495422
IT,ITALY,0,0,15580,3349964
JP,JAPAN,128439,21088819,1224493,206563495
KR,"KOREA,REPUBLIC OF",441950,38748194,2646558,193061129
MY,MALAYSIA,88000,7195275,808498,68837466
NL,NETHERLANDS,122000,12285695,402400,40334837
NO,NORWAY,0,0,480,191411
SA,SAUDI ARABIA,96000,4226587,888025,38322970
SG,SINGAPORE,62036,11675314,295206,45555476
ES,SPAIN,0,0,0,991
TW,"TAIWAN, PROVINCE OF CHINA",0,0,2644,3023785
TH,THAILAND,0,0,413,60782
AE,UNITED ARAB EMIRATES,297000,15712293,1763190,111865976
GB,UNITED KINGDOM,0,0,52198,7825299
US,UNITED STATES,156304,26547241,685204,122817967
VN,VIETNAM,5500,551408,15804,1531568
SUM,SUM,2069300,181493615,12031238,1101872478
