"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2022', 'Quantity')","('Feb 2022', 'CIF (Baht)')","('Jan - Feb 2022', 'Quantity')","('Jan - Feb 2022', 'CIF (Baht)')"
AT,AUSTRIA,0,0,22500,1829969
BE,BELGIUM,361905,25569438,1534185,106541795
BR,BRAZIL,0,0,8853,1463965
CN,CHINA,87058,5788450,186089,13422083
FR,FRANCE,49700,3395883,49700,3395883
DE,GERMANY,28200,3980348,140600,14667781
HK,HONG KONG,101,29557,101,29557
IN,INDIA,128851,8045481,214851,13643673
ID,INDONESIA,23325,2275654,64575,6874790
JP,JAPAN,1163956,85797041,2165872,155430681
KR,"KOREA,REPUBLIC OF",1739450,82542562,2989250,143320452
MY,MALAYSIA,126500,10475052,249500,24659580
NL,NETHERLANDS,99000,9024976,220875,20101689
SA,SAUDI ARABIA,402210,17412562,1018070,45104420
SG,SINGAPORE,2590500,143276998,5723810,313193447
ES,SPAIN,0,0,14425,1509029
CH,SWITZERLAND,34560,2386564,34560,2386564
TW,"TAIWAN, PROVINCE OF CHINA",20000,1141358,105340,6968895
AE,UNITED ARAB EMIRATES,717750,31172537,1150875,51247198
US,UNITED STATES,35218,3856058,118562,13916600
SUM,SUM,7608284,436170519,16012593,939708051
