"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2020', 'Quantity')","('Mar 2020', 'CIF (Baht)')","('Jan - Mar 2020', 'Quantity')","('Jan - Mar 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,7768,409034
BE,BELGIUM,55125,2252764,214375,8624182
BR,BRAZIL,200,93564,500,126072
CA,CANADA,0,0,50000,1260807
CN,CHINA,336800,15362974,480800,23984958
DE,GERMANY,19250,875894,43975,1972304
IN,INDIA,77000,2416260,181000,5246948
ID,INDONESIA,413750,14216499,929250,33672589
JP,JAPAN,67000,5422882,134250,12844492
KR,"KOREA,REPUBLIC OF",56375,1877811,106375,3733399
KW,KUWAIT,99000,2640627,470250,11582453
LA,LAO PDR,0,0,30000,473436
MY,MALAYSIA,323250,9256347,348250,10089712
QA,QATAR,229500,6155631,714000,18282163
SA,SAUDI ARABIA,2804600,76963005,7890050,211770667
SG,SINGAPORE,230000,7952261,794250,25861713
ZA,SOUTH AFRICA,173250,5234655,173250,5234655
CH,SWITZERLAND,0,0,200,22224
TW,"TAIWAN, PROVINCE OF CHINA",3000,2343145,3100,2347732
AE,UNITED ARAB EMIRATES,976125,27028494,2772375,74916172
US,UNITED STATES,1453175,46926598,3122992,96142086
VN,VIETNAM,71000,2184221,71150,2209430
SUM,SUM,7388400,229203632,18538160,550807228
