"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2014', 'Quantity')","('Jun 2014', 'CIF (Baht)')","('Jan - Jun 2014', 'Quantity')","('Jan - Jun 2014', 'CIF (Baht)')"
CN,CHINA,1200,114731,19725,1863733
FR,FRANCE,0,0,11000,927580
DE,GERMANY,0,0,1000,117562
IT,ITALY,0,0,42950,7019619
KR,"KOREA,REPUBLIC OF",48308,4083346,346278,25835016
MY,MALAYSIA,2830,285803,10030,988745
TW,"TAIWAN, PROVINCE OF CHINA",0,0,20,4104
GB,UNITED KINGDOM,0,0,22700,2346372
US,UNITED STATES,0,0,7423,904927
VN,VIETNAM,600,156630,1800,469808
SUM,SUM,52938,4640510,462926,40477466
