"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2018', 'Quantity')","('Feb 2018', 'CIF (Baht)')","('Jan - Feb 2018', 'Quantity')","('Jan - Feb 2018', 'CIF (Baht)')"
AT,AUSTRIA,515,205152,828,380985
BE,BELGIUM,0,0,200375,10381552
CA,CANADA,0,0,148,67074
CN,CHINA,1308817,69470489,3682035,180504245
FR,FRANCE,0,0,360,72774
DE,GERMANY,500,158814,18520,4713504
HK,HONG KONG,0,0,214,35887
IN,INDIA,67800,1761242,76800,2547189
ID,INDONESIA,44750,4054590,81600,7355995
JP,JAPAN,795538,54508332,1623953,118255185
KR,"KOREA,REPUBLIC OF",2032074,91362073,3945408,182874304
MY,MALAYSIA,144188,13696243,170866,16015809
NL,NETHERLANDS,49500,4295309,247500,21944110
NZ,NEW ZEALAND,0,0,985,979232
SA,SAUDI ARABIA,3449840,133890244,5950190,236151314
SG,SINGAPORE,949373,47471501,2144743,108179065
SK,SLOVAKIA,0,0,9700,625647
ZA,SOUTH AFRICA,49500,1854433,49500,1854433
TW,"TAIWAN, PROVINCE OF CHINA",296162,13376100,419863,18363751
TH,THAILAND,13050,627603,42050,2434318
AE,UNITED ARAB EMIRATES,24750,990616,134850,5363716
US,UNITED STATES,8915,838580,15302,1504864
VN,VIETNAM,2601,272225,24154,3075580
SUM,SUM,9237873,438833546,18839944,923680533
