"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2020', 'Quantity')","('May 2020', 'CIF (Baht)')","('Jan - May 2020', 'Quantity')","('Jan - May 2020', 'CIF (Baht)')"
BR,BRAZIL,0,0,1575,149242
CN,CHINA,0,0,2,3328
JP,JAPAN,0,0,435900,17549545
KR,"KOREA,REPUBLIC OF",0,0,88000,2718146
MY,MALAYSIA,0,0,1338750,35103595
SA,SAUDI ARABIA,49500,1413561,396000,10655370
SG,SINGAPORE,99000,2424084,99000,2424084
TW,"TAIWAN, PROVINCE OF CHINA",0,0,20000,1081560
US,UNITED STATES,0,0,36000,2834825
SUM,SUM,148500,3837645,2415227,72519695
