"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2013', 'Quantity')","('May 2013', 'CIF (Baht)')","('Jan - May 2013', 'Quantity')","('Jan - May 2013', 'CIF (Baht)')"
BE,BELGIUM,35886,1933667,469731,28447631
CA,CANADA,0,0,400000,17394795
CN,CHINA,94185,4468833,544581,27115248
DK,DENMARK,0,0,710,957130
FI,FINLAND,49500,2933672,197825,12422413
FR,FRANCE,0,0,133,82935
DE,GERMANY,77560,7339262,311632,30435441
IN,INDIA,0,0,525,18043
ID,INDONESIA,0,0,6625,3209682
IL,ISRAEL,0,0,9,4301
IT,ITALY,275,43254,585,113040
JP,JAPAN,283015,19978988,1677056,133588942
KR,"KOREA,REPUBLIC OF",352000,18788060,1236605,64128728
KW,KUWAIT,297000,12617552,1955250,83598734
MY,MALAYSIA,3516540,154733757,17722918,788278172
NL,NETHERLANDS,198060,14066586,723990,54277478
NZ,NEW ZEALAND,16000,357678,64000,1463385
NO,NORWAY,0,0,99000,6009326
QA,QATAR,1224000,51821819,3739500,155803140
SA,SAUDI ARABIA,2354700,101099879,10720850,473128228
SG,SINGAPORE,1728177,81127396,8367125,399278691
ES,SPAIN,144000,14008298,504250,45901657
CH,SWITZERLAND,300,77059,3840,867414
TW,"TAIWAN, PROVINCE OF CHINA",1095,137598,59195,3774513
AE,UNITED ARAB EMIRATES,98900,4252648,593600,25548550
GB,UNITED KINGDOM,0,0,1260,224425
US,UNITED STATES,149074,8834572,1346580,84727167
VN,VIETNAM,4075,495636,19726,2128042
SUM,SUM,10624342,499116214,50767101,2442927251
