"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2023', 'Quantity')","('Mar 2023', 'CIF (Baht)')","('Jan - Mar 2023', 'Quantity')","('Jan - Mar 2023', 'CIF (Baht)')"
BE,BELGIUM,49500,2391571,124375,5954395
BR,BRAZIL,150,145576,700,297126
CA,CANADA,408090,14289426,1139460,41057666
CN,CHINA,5278,81157,7654,106592
ID,INDONESIA,90000,7565542,189750,16040757
JP,JAPAN,71300,6228005,171100,16484950
KR,"KOREA,REPUBLIC OF",48000,1838714,84000,3481493
KW,KUWAIT,99000,3262786,198000,6363819
MY,MALAYSIA,1891050,68463743,2862401,99995017
NL,NETHERLANDS,100000,4716316,280000,12979793
OM,OMAN,0,0,198000,6785731
QA,QATAR,0,0,433500,14362622
SA,SAUDI ARABIA,2684570,98578813,9880520,354912738
SG,SINGAPORE,643000,27169297,1560625,63612857
SE,SWEDEN,2500,210938,9724,902333
TW,"TAIWAN, PROVINCE OF CHINA",11,2515,2131,1858233
TH,THAILAND,5750,412744,5750,412744
AE,UNITED ARAB EMIRATES,495000,19047152,1039500,37781812
US,UNITED STATES,134602,7356516,415404,20439444
VN,VIETNAM,174000,6390756,339262,12036695
SUM,SUM,6901801,268151567,18941856,715866817
