"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2013', 'Quantity')","('May 2013', 'CIF (Baht)')","('Jan - May 2013', 'Quantity')","('Jan - May 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,28000,1772992
AT,AUSTRIA,28000,1740400,29375,1843545
BE,BELGIUM,75000,6309672,123000,10688079
CN,CHINA,87875,5300702,179375,10574873
FI,FINLAND,2000,208154,11000,1180095
IN,INDIA,0,0,72000,3975208
IT,ITALY,4125,312746,4125,312746
JP,JAPAN,132000,10305073,922000,68098306
KR,"KOREA,REPUBLIC OF",394000,24171320,1883000,115175965
MY,MALAYSIA,40000,2763824,140000,9674388
SA,SAUDI ARABIA,49500,2046415,49500,2046415
SE,SWEDEN,20000,1727101,545400,40025188
TW,"TAIWAN, PROVINCE OF CHINA",0,0,33015,2709078
AE,UNITED ARAB EMIRATES,49450,2301623,200250,9175614
US,UNITED STATES,0,0,537870,35985315
VN,VIETNAM,0,0,195400,12282821
SUM,SUM,881950,57187030,4953310,325520628
