"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2012', 'Quantity')","('May 2012', 'CIF (Baht)')","('Jan - May 2012', 'Quantity')","('Jan - May 2012', 'CIF (Baht)')"
AT,AUSTRIA,0,0,2,12350
BE,BELGIUM,57750,4579674,192550,13297378
CA,CANADA,0,0,34000,3225390
CN,CHINA,39925,2151835,182706,10229947
DE,GERMANY,24001,2424023,88709,8184662
IN,INDIA,0,0,3,4134
ID,INDONESIA,0,0,25177,2186765
IT,ITALY,28,12982,19613,2665109
JP,JAPAN,38576,4355743,568712,47267020
KR,"KOREA,REPUBLIC OF",48000,3249689,1512117,92835920
MY,MALAYSIA,272843,11488974,1130462,47880448
PH,PHILIPPINES,1000,164915,1000,164915
SG,SINGAPORE,100,3100,212780,10786350
ZA,SOUTH AFRICA,0,0,49,11837
SE,SWEDEN,1,4745,1149,64328
CH,SWITZERLAND,0,0,10000,1164400
TW,"TAIWAN, PROVINCE OF CHINA",85000,5794557,404100,27094108
GB,UNITED KINGDOM,0,0,6300,1139968
US,UNITED STATES,118679,13395767,536811,60391987
VN,VIETNAM,52400,751414,220798,4344385
SUM,SUM,738303,48377418,5147038,332951401
