"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2015', 'Quantity')","('Jul 2015', 'CIF (Baht)')","('Jan - Jul 2015', 'Quantity')","('Jan - Jul 2015', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,40,13621
AT,AUSTRIA,405,164479,4361,1727813
BE,BELGIUM,3025,358811,188405,17966029
CA,CANADA,750,200012,12775,3074486
CN,CHINA,355759,17715534,2591116,120176301
DK,DENMARK,30,15781,30,15781
FO,FAROE ISLANDS,15,3334,15,3334
FR,FRANCE,11575,1013387,41798,4035038
DE,GERMANY,79797,5935928,532766,36933330
HK,HONG KONG,0,10731,580,27349
IN,INDIA,2250,309489,70250,6224617
ID,INDONESIA,0,0,22,5374
IL,ISRAEL,0,0,0,1718
IT,ITALY,1000,354534,11025,3273577
JP,JAPAN,365826,38901118,2514700,259597785
KP,KOREA DPR,0,0,14000,716785
KR,"KOREA,REPUBLIC OF",190400,11001235,1399011,76121230
MY,MALAYSIA,14650,856907,19820,1340528
NZ,NEW ZEALAND,0,0,2500,602720
QA,QATAR,512000,24328035,2424500,110379969
SA,SAUDI ARABIA,92700,4711965,1713850,72967585
SG,SINGAPORE,1763396,100228039,13182276,713267827
ES,SPAIN,0,0,63900,5129304
CH,SWITZERLAND,0,0,1267,176137
TW,"TAIWAN, PROVINCE OF CHINA",45710,2990775,473549,29059058
TH,THAILAND,50,10702,25812,778589
TR,TÜRKIYE,0,0,65,30414
AE,UNITED ARAB EMIRATES,173500,8147839,2887181,119272736
GB,UNITED KINGDOM,2000,409208,10563,1213608
US,UNITED STATES,770611,64188161,10773860,853815848
VN,VIETNAM,150,100032,57935,3465603
SUM,SUM,4385599,281956036,39017972,2441414094
