"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2015', 'Quantity')","('Aug 2015', 'CIF (Baht)')","('Jan - Aug 2015', 'Quantity')","('Jan - Aug 2015', 'CIF (Baht)')"
AU,AUSTRALIA,8000,1167805,8000,1167805
AT,AUSTRIA,0,0,37800,2234979
BE,BELGIUM,11000,665966,410465,24516402
CA,CANADA,0,0,16000,2831186
CN,CHINA,57010,7039197,272161,41680264
CZ,CZECH REPUBLIC,0,0,100,57006
FI,FINLAND,0,0,25,12740
FR,FRANCE,46775,2834388,490712,26484986
DE,GERMANY,4503,565470,37116,5398279
HK,HONG KONG,0,0,11500,1231920
IN,INDIA,0,0,36000,2086935
ID,INDONESIA,0,0,161475,9733105
IT,ITALY,400,49168,450,71872
JP,JAPAN,1548947,99130144,9540008,621622449
KR,"KOREA,REPUBLIC OF",357000,19277562,3096531,155569370
MY,MALAYSIA,0,0,327367,15828156
NL,NETHERLANDS,255750,16800832,1330200,85209526
SA,SAUDI ARABIA,297000,13463218,1905750,82338184
SG,SINGAPORE,6001050,307683410,41601935,2074348271
ZA,SOUTH AFRICA,0,0,222750,9790378
ES,SPAIN,0,0,1550,306340
CH,SWITZERLAND,25,19271,28,30076
TW,"TAIWAN, PROVINCE OF CHINA",163520,8464920,1475640,71800897
TH,THAILAND,0,0,24900,1465337
TR,TÜRKIYE,500,67631,527,83086
AE,UNITED ARAB EMIRATES,223250,9971037,1853375,79788911
GB,UNITED KINGDOM,0,0,32000,3192679
US,UNITED STATES,4,526,818584,60652173
VN,VIETNAM,0,0,22000,1213733
SUM,SUM,8974734,487200545,63734949,3380747045
