"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2019', 'Quantity')","('Feb 2019', 'CIF (Baht)')","('Jan - Feb 2019', 'Quantity')","('Jan - Feb 2019', 'CIF (Baht)')"
AR,ARGENTINA,0,0,200,84781
BE,BELGIUM,70140,4057509,123940,7595533
CN,CHINA,178723,13829075,320723,22192642
FI,FINLAND,0,0,2750,292465
HK,HONG KONG,57110,643911,245400,2518688
IN,INDIA,0,0,1500,165126
ID,INDONESIA,600,113866,600,113866
JP,JAPAN,183303,12748510,734488,46224362
KR,"KOREA,REPUBLIC OF",611770,27191080,1482820,67717996
MY,MALAYSIA,59916,7447200,115422,14818289
MX,MEXICO,2720,494502,4080,1176944
NL,NETHERLANDS,1,9152,1,9152
SA,SAUDI ARABIA,1064250,37251032,1584000,57338125
SG,SINGAPORE,385720,17878756,664000,33194875
TW,"TAIWAN, PROVINCE OF CHINA",62550,2751576,155550,6874416
TH,THAILAND,0,0,14270,276666
AE,UNITED ARAB EMIRATES,24750,943180,25750,988101
US,UNITED STATES,58189,3690576,90360,5103256
VN,VIETNAM,0,0,540000,21203037
SUM,SUM,2759742,129049925,6105854,287888320
