"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2021', 'Quantity')","('Jan 2021', 'CIF (Baht)')","('Jan - Jan 2021', 'Quantity')","('Jan - Jan 2021', 'CIF (Baht)')"
AT,AUSTRIA,340,509789,340,509789
BE,BELGIUM,27800,1437481,27800,1437481
BR,BRAZIL,1719,628287,1719,628287
CN,CHINA,240297,14215452,240297,14215452
CZ,CZECH REPUBLIC,2,682,2,682
FR,FRANCE,50180,2424879,50180,2424879
DE,GERMANY,1080,425496,1080,425496
HK,HONG KONG,209430,16922765,209430,16922765
IT,ITALY,760,99220,760,99220
JP,JAPAN,177823,30362572,177823,30362572
KR,"KOREA,REPUBLIC OF",387100,18478062,387100,18478062
MY,MALAYSIA,39911,3151991,39911,3151991
NL,NETHERLANDS,28668,2792592,28668,2792592
SA,SAUDI ARABIA,272250,9412105,272250,9412105
SG,SINGAPORE,27225,3059975,27225,3059975
ZA,SOUTH AFRICA,0,185,0,185
TW,"TAIWAN, PROVINCE OF CHINA",32,3608,32,3608
AE,UNITED ARAB EMIRATES,470250,18521601,470250,18521601
US,UNITED STATES,113506,15709183,113506,15709183
VN,VIETNAM,10050,660600,10050,660600
SUM,SUM,2058423,138816525,2058423,138816525
