"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2016', 'Quantity')","('Apr 2016', 'CIF (Baht)')","('Jan - Apr 2016', 'Quantity')","('Jan - Apr 2016', 'CIF (Baht)')"
AT,AUSTRIA,0,0,5500,476887
CN,CHINA,18300,1709377,100400,9682996
HK,HONG KONG,0,0,590,28372
JP,JAPAN,453200,25395273,906400,56894371
KR,"KOREA,REPUBLIC OF",69400,3779846,183500,10783030
TW,"TAIWAN, PROVINCE OF CHINA",0,0,11000,1102049
AE,UNITED ARAB EMIRATES,65000,2978078,156000,7529312
US,UNITED STATES,182793,11159590,435641,28521649
VN,VIETNAM,0,0,184575,12302723
SUM,SUM,788693,45022164,1983606,127321389
