"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2016', 'Quantity')","('Oct 2016', 'CIF (Baht)')","('Jan - Oct 2016', 'Quantity')","('Jan - Oct 2016', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,7245,1883688
AT,AUSTRIA,5,4745,26130,1282340
BE,BELGIUM,0,0,145191,11844797
BR,BRAZIL,30100,3054902,728350,38050849
KH,CAMBODIA,0,0,5,1814
CN,CHINA,104200,5054129,383615,28805414
FI,FINLAND,99000,5162116,940700,47696968
FR,FRANCE,0,0,25,19521
DE,GERMANY,145001,9181805,3016712,200435858
GR,GREECE,0,0,20,7252
HK,HONG KONG,68000,3088356,142360,6337792
IN,INDIA,504,153127,3586,739039
ID,INDONESIA,35250,2119970,414650,24615263
IL,ISRAEL,11600,1000912,11600,1000912
IT,ITALY,0,0,20,7523
JP,JAPAN,221413,22208886,2881763,216186980
KR,"KOREA,REPUBLIC OF",264000,14896430,3043822,171658230
KW,KUWAIT,297000,12417370,3514500,144664037
MY,MALAYSIA,3690270,159319334,33280983,1428972738
NL,NETHERLANDS,381705,22252394,2967005,172101421
NZ,NEW ZEALAND,0,0,1,6929
PH,PHILIPPINES,0,0,9,5251
PL,POLAND,0,0,8003,1324547
QA,QATAR,535500,22366419,6194000,253692429
RU,RUSSIAN FEDERATION,0,0,29,14879
SA,SAUDI ARABIA,2920150,123547707,27214948,1126968820
SG,SINGAPORE,2320880,106868159,26072293,1205813704
ES,SPAIN,0,0,36250,2079292
SE,SWEDEN,0,0,2398,274238
CH,SWITZERLAND,0,1442,121,129583
TW,"TAIWAN, PROVINCE OF CHINA",1000,73092,16300,2929964
TH,THAILAND,31000,1692920,31935,1781936
TN,TUNISIA,0,0,75,25437
AE,UNITED ARAB EMIRATES,285050,11615414,2361512,95794445
GB,UNITED KINGDOM,200,9177,11829,2095273
US,UNITED STATES,159908,13081718,1241868,106725221
VN,VIETNAM,4200,558751,32604,4605042
SUM,SUM,11605936,539729275,114732457,5300579426
