"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2018', 'Quantity')","('Jul 2018', 'CIF (Baht)')","('Jan - Jul 2018', 'Quantity')","('Jan - Jul 2018', 'CIF (Baht)')"
BE,BELGIUM,141075,7321842,882500,49952363
BR,BRAZIL,0,0,1100,174632
CA,CANADA,0,0,42400,2479953
CN,CHINA,163126,6644475,1229243,54773653
DE,GERMANY,1000,187055,11485,1172307
IN,INDIA,0,0,1675,750799
IT,ITALY,30500,3605880,193459,18981757
JP,JAPAN,193631,11439980,1284361,82285567
KR,"KOREA,REPUBLIC OF",454582,24605315,3979025,210791174
MY,MALAYSIA,15351,1632371,716594,36898730
SA,SAUDI ARABIA,148500,7252267,1064250,50277324
SG,SINGAPORE,552000,29879147,1813623,100636767
SE,SWEDEN,0,0,40000,1578735
TW,"TAIWAN, PROVINCE OF CHINA",271505,14215321,2220212,119694401
AE,UNITED ARAB EMIRATES,0,0,366900,17916034
GB,UNITED KINGDOM,0,0,9701,1227063
US,UNITED STATES,44700,3328130,691028,44238569
VN,VIETNAM,4800,488421,9020,815211
SUM,SUM,2020770,110600204,14556576,794645039
