"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2020', 'Quantity')","('Apr 2020', 'CIF (Baht)')","('Jan - Apr 2020', 'Quantity')","('Jan - Apr 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,44000,940506
AT,AUSTRIA,0,0,560,135368
BE,BELGIUM,166121,5885037,461806,16064399
BR,BRAZIL,297000,24285474,630625,50822408
CN,CHINA,143863,7244808,475313,21095843
CZ,CZECH REPUBLIC,0,0,75,16883
FR,FRANCE,22000,1042506,88000,4457811
DE,GERMANY,91175,6632071,159005,21200556
HK,HONG KONG,7,2855,7,2855
IN,INDIA,54000,1481825,54500,1544903
ID,INDONESIA,50,14491,2058,167165
IL,ISRAEL,0,0,450,83962
IT,ITALY,89965,4135864,1315785,62934472
JP,JAPAN,814501,43276009,4424294,211436287
KR,"KOREA,REPUBLIC OF",902375,28308013,2343055,71626665
KW,KUWAIT,668250,18989779,2252250,59895664
MY,MALAYSIA,2801600,91218009,4860350,154031294
NL,NETHERLANDS,11002,1086130,22007,2058808
PT,PORTUGAL,0,0,50,17307
QA,QATAR,1438920,42364822,5763840,159859760
SA,SAUDI ARABIA,1512500,41207156,6214500,163431626
SG,SINGAPORE,1889720,56650092,6140515,176566829
CH,SWITZERLAND,29780,1319315,146240,7018286
TW,"TAIWAN, PROVINCE OF CHINA",154000,7111465,1143300,49275733
TH,THAILAND,2975,181324,16475,814305
AE,UNITED ARAB EMIRATES,1386000,40232412,6149668,172794780
US,UNITED STATES,1191604,38701694,11551883,334510752
SUM,SUM,13667408,461371151,54260611,1742805227
