"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2020', 'Quantity')","('Dec 2020', 'CIF (Baht)')","('Jan - Dec 2020', 'Quantity')","('Jan - Dec 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,62305,806504
AT,AUSTRIA,0,0,18000,1681483
BE,BELGIUM,500,153015,443425,39418532
BR,BRAZIL,25,28042,50,38257
CA,CANADA,2250,717801,204620,6174658
CN,CHINA,1175125,44459678,11229766,443435563
FI,FINLAND,44000,2712730,44100,2762276
FR,FRANCE,0,0,8983,2243590
DE,GERMANY,21767,1980027,167628,14149448
HK,HONG KONG,48000,590407,211668,3047822
IN,INDIA,190,92445,11199,1667055
ID,INDONESIA,40,13061,1822,192087
IL,ISRAEL,0,0,18645,1114662
IT,ITALY,2300,806570,6753,2301573
JP,JAPAN,244511,23074194,2876860,318098918
KR,"KOREA,REPUBLIC OF",561450,28661619,6078076,317085558
LU,LUXEMBOURG,0,0,23,10292
MY,MALAYSIA,440,37146,215771,13538776
NL,NETHERLANDS,1450,238328,100906,3577952
SA,SAUDI ARABIA,0,0,544500,16091157
SG,SINGAPORE,1130,170270,7927534,291505117
ES,SPAIN,0,0,146778,5028973
SE,SWEDEN,0,0,350000,25654717
CH,SWITZERLAND,0,0,2,4140
TW,"TAIWAN, PROVINCE OF CHINA",6900,754887,152786,10979295
TH,THAILAND,8800,748112,254875,13819220
AE,UNITED ARAB EMIRATES,0,0,1986755,66269636
GB,UNITED KINGDOM,1002,255119,156632,13260134
US,UNITED STATES,1942743,91438325,23048244,1024863919
VN,VIETNAM,52495,2526459,542872,27340455
SUM,SUM,4115118,199458235,56811578,2666161769
