"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2012', 'Quantity')","('Apr 2012', 'CIF (Baht)')","('Jan - Apr 2012', 'Quantity')","('Jan - Apr 2012', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,0,12000
BR,BRAZIL,0,0,1304,312210
CN,CHINA,1080,124703,1800,216531
FR,FRANCE,20180,1342835,78100,4757893
DE,GERMANY,600,120389,6200,1306855
JP,JAPAN,24650,1773443,49366,7035705
KR,"KOREA,REPUBLIC OF",187820,10706571,387320,21111313
MY,MALAYSIA,0,0,200,70148
SG,SINGAPORE,168,28252,168,28252
TW,"TAIWAN, PROVINCE OF CHINA",0,0,7840,678404
GB,UNITED KINGDOM,5040,583251,5040,583251
US,UNITED STATES,1470,598064,1470,598064
SUM,SUM,241008,15277508,538808,36710626
