"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2022', 'Quantity')","('Dec 2022', 'CIF (Baht)')","('Jan - Dec 2022', 'Quantity')","('Jan - Dec 2022', 'CIF (Baht)')"
BE,BELGIUM,0,0,19000,1804589
CA,CANADA,0,0,40800,6102487
CN,CHINA,100,17907,100,17907
DE,GERMANY,0,0,2500,355056
IT,ITALY,0,0,24750,2666759
JP,JAPAN,0,0,7000,380626
KR,"KOREA,REPUBLIC OF",0,0,20106,2158898
NL,NETHERLANDS,0,0,1250,159372
SG,SINGAPORE,0,0,25500,1147869
AE,UNITED ARAB EMIRATES,0,0,11000,449814
US,UNITED STATES,20400,2988787,86861,12792554
SUM,SUM,20500,3006694,238867,28035931
