"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2021', 'Quantity')","('Oct 2021', 'CIF (Baht)')","('Jan - Oct 2021', 'Quantity')","('Jan - Oct 2021', 'CIF (Baht)')"
BE,BELGIUM,0,0,120000,14392834
CN,CHINA,1200,107913,2054,188510
FI,FINLAND,6,1759,6,1759
DE,GERMANY,0,0,1000,379093
ID,INDONESIA,0,0,2,2033
IT,ITALY,0,0,4200,737238
JP,JAPAN,300,86250,76100,6391250
KR,"KOREA,REPUBLIC OF",0,0,194000,11835115
OM,OMAN,0,0,60,24676
SG,SINGAPORE,72000,2992689,2256000,88017819
AE,UNITED ARAB EMIRATES,66700,3960901,313800,13217720
US,UNITED STATES,2000,200582,1152508,76330626
SUM,SUM,142206,7350094,4119730,211518673
