"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2020', 'Quantity')","('Jun 2020', 'CIF (Baht)')","('Jan - Jun 2020', 'Quantity')","('Jan - Jun 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,5000,372702
AT,AUSTRIA,0,0,4125,251073
BE,BELGIUM,70000,2642822,260070,11595152
CN,CHINA,75150,4518882,1261105,81201862
DE,GERMANY,25250,1256409,55376,3001509
HK,HONG KONG,0,0,100,15301
IN,INDIA,1000,107494,3400,337870
ID,INDONESIA,13250,1176900,82537,6491461
IL,ISRAEL,0,0,39240,2598804
IT,ITALY,50,27622,50,27622
JP,JAPAN,200014,13314547,1975930,125626086
KR,"KOREA,REPUBLIC OF",656650,24260871,4749000,177282109
MY,MALAYSIA,9280,943910,1574412,60998804
MX,MEXICO,6800,603838,6800,603838
OM,OMAN,173250,4363981,321750,8699840
SA,SAUDI ARABIA,1125750,29251434,6352280,190717974
SG,SINGAPORE,690580,23985318,3047203,110178524
ES,SPAIN,75,33538,16575,1355766
TW,"TAIWAN, PROVINCE OF CHINA",49025,1626306,362485,14510438
TH,THAILAND,16425,818021,40250,1655352
AE,UNITED ARAB EMIRATES,148500,4256768,421875,12968620
US,UNITED STATES,31142,2236518,195899,12657424
SUM,SUM,3292191,115425179,20775462,823148131
