"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2020', 'Quantity')","('Jul 2020', 'CIF (Baht)')","('Jan - Jul 2020', 'Quantity')","('Jan - Jul 2020', 'CIF (Baht)')"
BR,BRAZIL,0,0,1575,149242
CN,CHINA,0,0,2,3328
JP,JAPAN,120000,4148487,795925,30490700
KR,"KOREA,REPUBLIC OF",0,0,88000,2718146
MY,MALAYSIA,0,0,1338750,35103595
SA,SAUDI ARABIA,148500,3658095,742500,19744024
SG,SINGAPORE,0,0,99000,2424084
TW,"TAIWAN, PROVINCE OF CHINA",25,5867,20025,1087427
US,UNITED STATES,45000,1306942,216000,7896040
SUM,SUM,313525,9119391,3301777,99616586
