"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2016', 'Quantity')","('Jul 2016', 'CIF (Baht)')","('Jan - Jul 2016', 'Quantity')","('Jan - Jul 2016', 'CIF (Baht)')"
AT,AUSTRIA,575,180661,7775,1200190
BD,BANGLADESH,27,8964,27,8964
BE,BELGIUM,118660,7286765,437460,34924623
BR,BRAZIL,50,18298,50,22296
CA,CANADA,2275,730633,27775,7273209
CN,CHINA,392417,17060918,3399011,160317737
EG,EGYPT,416,64256,1379,144718
FR,FRANCE,0,0,34150,3540217
DE,GERMANY,147000,9726459,564970,37403697
HK,HONG KONG,0,0,217,153459
IN,INDIA,6600,688024,59879,5408861
ID,INDONESIA,0,0,100,34276
IT,ITALY,1500,198929,9575,3104952
JP,JAPAN,344293,41458867,2812833,310318034
KR,"KOREA,REPUBLIC OF",259070,12282643,1242385,63413716
LU,LUXEMBOURG,0,0,1500,511377
MY,MALAYSIA,21000,1289077,427724,26646085
NL,NETHERLANDS,0,0,200,40116
NZ,NEW ZEALAND,0,0,1700,438589
PH,PHILIPPINES,0,0,1100,8710
QA,QATAR,433500,17763127,3289500,134510766
SA,SAUDI ARABIA,890550,38116427,2503400,106575120
SG,SINGAPORE,1317750,76212128,13693630,738954845
ES,SPAIN,8801,734033,188201,14353643
CH,SWITZERLAND,10004,1159213,10004,1161197
TW,"TAIWAN, PROVINCE OF CHINA",107425,7159486,1178407,59431467
TH,THAILAND,15525,865608,18041,1159210
UG,UGANDA,0,0,1905,330681
UA,UKRAINE,0,0,159350,7876480
AE,UNITED ARAB EMIRATES,204750,8325052,2963750,122029240
GB,UNITED KINGDOM,2005,458732,5605,1537525
US,UNITED STATES,615334,68015275,4349269,409682190
VN,VIETNAM,25,10399,1560,92203
SUM,SUM,4899552,309813974,37392432,2252608393
