"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2017', 'Quantity')","('Feb 2017', 'CIF (Baht)')","('Jan - Feb 2017', 'Quantity')","('Jan - Feb 2017', 'CIF (Baht)')"
BE,BELGIUM,19000,1685338,19000,1685338
CN,CHINA,14300,1190159,15325,1326251
DE,GERMANY,3600,226083,3600,226083
IN,INDIA,525,62401,525,62401
JP,JAPAN,349690,18530711,683340,35970248
KR,"KOREA,REPUBLIC OF",216975,8434479,283475,11389322
MY,MALAYSIA,45467,7066469,68359,10634723
SA,SAUDI ARABIA,495000,18697124,544500,20590514
SG,SINGAPORE,17840,3007633,35680,6064331
AE,UNITED ARAB EMIRATES,0,0,100,45936
VN,VIETNAM,40000,635099,40000,635099
SUM,SUM,1202397,59535496,1693904,88630246
