"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2020', 'Quantity')","('Mar 2020', 'CIF (Baht)')","('Jan - Mar 2020', 'Quantity')","('Jan - Mar 2020', 'CIF (Baht)')"
CA,CANADA,0,0,100,5308
CN,CHINA,2000,192148,8295,748472
DE,GERMANY,0,0,1000,187887
JP,JAPAN,18300,1811004,56800,5384923
KR,"KOREA,REPUBLIC OF",10052,480661,10202,505500
MY,MALAYSIA,48000,1722084,144000,4746052
NL,NETHERLANDS,0,0,156750,6263806
QA,QATAR,25500,682755,25500,682755
SA,SAUDI ARABIA,99000,2815840,247500,7137405
SG,SINGAPORE,1089435,51472007,3370155,157824527
ES,SPAIN,11500,1051204,123700,8037717
AE,UNITED ARAB EMIRATES,767500,20221738,2398000,62490045
US,UNITED STATES,1544860,54732428,5121054,171396783
SUM,SUM,3616147,135181869,11663056,425411180
