"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2018', 'Quantity')","('Apr 2018', 'CIF (Baht)')","('Jan - Apr 2018', 'Quantity')","('Jan - Apr 2018', 'CIF (Baht)')"
CN,CHINA,18925,1591284,45025,3819967
JP,JAPAN,101000,7043105,323000,25041705
KR,"KOREA,REPUBLIC OF",143000,8214266,1524400,87844936
MY,MALAYSIA,0,0,10000,593208
AE,UNITED ARAB EMIRATES,105000,5431605,1209500,61812263
US,UNITED STATES,502440,26399027,1522098,81267632
VN,VIETNAM,50625,2892132,163125,9400705
SUM,SUM,920990,51571419,4797148,269780416
