"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2012', 'Quantity')","('May 2012', 'CIF (Baht)')","('Jan - May 2012', 'Quantity')","('Jan - May 2012', 'CIF (Baht)')"
BE,BELGIUM,0,0,60000,6335347
CN,CHINA,12935,1337817,25335,3546204
DE,GERMANY,0,0,63000,5248296
JP,JAPAN,429020,31755740,796620,57470522
KR,"KOREA,REPUBLIC OF",122000,9575424,278200,20960887
QA,QATAR,0,0,49500,2056624
SG,SINGAPORE,0,0,225000,9632745
AE,UNITED ARAB EMIRATES,104600,5170356,575900,27497641
US,UNITED STATES,612,28465,752528,50048743
SUM,SUM,669167,47867802,2826083,182797009
