"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2012', 'Quantity')","('Apr 2012', 'CIF (Baht)')","('Jan - Apr 2012', 'Quantity')","('Jan - Apr 2012', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,16250,794267
BE,BELGIUM,29540,4028766,35915,4789648
CN,CHINA,62620,5566495,170445,16080652
FR,FRANCE,0,0,25,9567
DE,GERMANY,35760,2236792,57983,3977247
HK,HONG KONG,5644,647232,5644,647232
IN,INDIA,0,0,725,123984
ID,INDONESIA,8760,845361,31710,3089464
IT,ITALY,99000,6890456,220000,15026714
JP,JAPAN,811767,65086686,4043479,321019976
KR,"KOREA,REPUBLIC OF",1583275,85111932,4762350,262855888
MY,MALAYSIA,92550,4174462,477350,23100561
NL,NETHERLANDS,68750,4827244,324600,22039643
SA,SAUDI ARABIA,297000,13892846,1344600,59910877
SG,SINGAPORE,4054097,207715763,15411284,789015825
CH,SWITZERLAND,0,0,3,12773
TW,"TAIWAN, PROVINCE OF CHINA",385000,19812505,860710,48283570
AE,UNITED ARAB EMIRATES,396000,16908804,1089000,46428704
GB,UNITED KINGDOM,800,270744,17100,2119308
US,UNITED STATES,67308,5142786,376108,29964022
SUM,SUM,7997871,443158874,29245281,1649289922
