"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2014', 'Quantity')","('May 2014', 'CIF (Baht)')","('Jan - May 2014', 'Quantity')","('Jan - May 2014', 'CIF (Baht)')"
CN,CHINA,0,0,18525,1749002
FR,FRANCE,0,0,11000,927580
DE,GERMANY,0,0,1000,117562
IT,ITALY,0,0,42950,7019619
KR,"KOREA,REPUBLIC OF",13154,1225056,297970,21751670
MY,MALAYSIA,0,0,7200,702942
TW,"TAIWAN, PROVINCE OF CHINA",0,0,20,4104
GB,UNITED KINGDOM,100,4907,22700,2346372
US,UNITED STATES,0,0,7423,904927
VN,VIETNAM,0,0,1200,313178
SUM,SUM,13254,1229963,409988,35836956
