"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2015', 'Quantity')","('Apr 2015', 'CIF (Baht)')","('Jan - Apr 2015', 'Quantity')","('Jan - Apr 2015', 'CIF (Baht)')"
AT,AUSTRIA,0,0,37125,2371821
BE,BELGIUM,126275,10062845,404420,31040010
BR,BRAZIL,25,13618,50,29203
CA,CANADA,77760,2630712,77760,2630712
CN,CHINA,80700,4466167,147451,10188431
EG,EGYPT,0,0,250,15642
FI,FINLAND,199250,9678951,269250,14006737
DE,GERMANY,143009,8429728,757177,49223680
HK,HONG KONG,0,0,24750,942978
IN,INDIA,0,0,1,165
ID,INDONESIA,2170,780485,6070,2454570
IT,ITALY,0,0,12830,456310
JP,JAPAN,388654,25994757,1830197,126995937
KR,"KOREA,REPUBLIC OF",221018,12866533,1025215,62948816
KW,KUWAIT,272250,10551876,1386000,55790074
MY,MALAYSIA,2254087,96976225,7634310,327860615
NL,NETHERLANDS,126030,6395888,933250,51834689
QA,QATAR,739500,27403923,1785000,70406756
SA,SAUDI ARABIA,2815700,116433010,10025600,413215245
SG,SINGAPORE,1987050,89789601,8579632,395355698
ES,SPAIN,0,0,164000,16173013
SE,SWEDEN,9625,630146,9625,630146
CH,SWITZERLAND,0,0,36690,7292786
TW,"TAIWAN, PROVINCE OF CHINA",1500,251038,26575,1738750
AE,UNITED ARAB EMIRATES,315000,13329153,920792,36867798
GB,UNITED KINGDOM,29196,1215419,29199,1226279
US,UNITED STATES,39527,4069725,384910,32125482
VN,VIETNAM,4000,558378,24175,2601433
SUM,SUM,9832326,442528178,36532304,1716423776
