"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2013', 'Quantity')","('Jan 2013', 'CIF (Baht)')","('Jan - Jan 2013', 'Quantity')","('Jan - Jan 2013', 'CIF (Baht)')"
BE,BELGIUM,92585,6859255,92585,6859255
CA,CANADA,150000,6492665,150000,6492665
CN,CHINA,267701,12578987,267701,12578987
DK,DENMARK,565,159813,565,159813
FI,FINLAND,49500,3197003,49500,3197003
DE,GERMANY,36000,4033743,36000,4033743
ID,INDONESIA,1750,941878,1750,941878
IT,ITALY,60,30820,60,30820
JP,JAPAN,267443,24965885,267443,24965885
KR,"KOREA,REPUBLIC OF",309500,16183037,309500,16183037
KW,KUWAIT,618750,26032737,618750,26032737
MY,MALAYSIA,4250350,186560178,4250350,186560178
NL,NETHERLANDS,150460,12436207,150460,12436207
QA,QATAR,714000,29323389,714000,29323389
SA,SAUDI ARABIA,2610850,114096736,2610850,114096736
SG,SINGAPORE,1670577,78123088,1670577,78123088
ES,SPAIN,217250,17918952,217250,17918952
TW,"TAIWAN, PROVINCE OF CHINA",10000,1030299,10000,1030299
AE,UNITED ARAB EMIRATES,74250,3062657,74250,3062657
GB,UNITED KINGDOM,60,37582,60,37582
US,UNITED STATES,749723,41556446,749723,41556446
VN,VIETNAM,26,23837,26,23837
SUM,SUM,12241400,585645194,12241400,585645194
