"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2020', 'Quantity')","('Jul 2020', 'CIF (Baht)')","('Jan - Jul 2020', 'Quantity')","('Jan - Jul 2020', 'CIF (Baht)')"
AU,AUSTRALIA,406,123335,406,123335
AT,AUSTRIA,0,0,1453,2146312
BE,BELGIUM,4,1461,18252,2296139
BZ,BELIZE,0,0,191,65750
BR,BRAZIL,191,69146,3285,757759
CA,CANADA,3,40755,102,1183554
CN,CHINA,165895,8611534,854682,57188975
FR,FRANCE,19435,1346409,90002,6308615
DE,GERMANY,177,40778,127272,26611896
HK,HONG KONG,270100,21253723,542775,46245108
IN,INDIA,4,6956,8,7214
IL,ISRAEL,0,0,2000,61164
IT,ITALY,0,0,380,46822
JP,JAPAN,51925,9000412,1285050,189737163
KR,"KOREA,REPUBLIC OF",201740,9326228,2885465,142160442
LU,LUXEMBOURG,0,0,15,8105
MY,MALAYSIA,137801,8449606,678234,43268120
NL,NETHERLANDS,25,4461,313045,26342252
NO,NORWAY,0,0,2,358
SA,SAUDI ARABIA,125910,3788578,927160,28657723
SG,SINGAPORE,3360,493592,280388,30479150
CH,SWITZERLAND,0,0,250,316966
TW,"TAIWAN, PROVINCE OF CHINA",0,0,112816,11139207
TH,THAILAND,0,0,10150,807235
AE,UNITED ARAB EMIRATES,544500,16986986,3415500,108866550
GB,UNITED KINGDOM,3,1660,20978,3030350
US,UNITED STATES,52829,6918114,614031,94902481
VN,VIETNAM,4500,321817,32050,2326805
SUM,SUM,1578808,86785551,12215942,825085550
