"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2018', 'Quantity')","('Feb 2018', 'CIF (Baht)')","('Jan - Feb 2018', 'Quantity')","('Jan - Feb 2018', 'CIF (Baht)')"
AU,AUSTRALIA,4340,306707,4340,306707
BE,BELGIUM,74250,4493433,74250,4493433
BR,BRAZIL,1014750,50082358,1980000,98206780
CN,CHINA,21050,1212873,25050,1509925
FI,FINLAND,74250,4157558,123750,6996058
DE,GERMANY,139927,10404032,478938,34013525
IN,INDIA,102,16975,102,16975
ID,INDONESIA,0,0,1250,657394
IT,ITALY,0,0,1,5189
JP,JAPAN,163155,12727914,336629,29994290
KR,"KOREA,REPUBLIC OF",335500,17509053,747000,38761613
KW,KUWAIT,247500,9272164,643500,24672193
LU,LUXEMBOURG,1175,224376,1175,224376
MY,MALAYSIA,3684500,150223502,8254711,343472480
NL,NETHERLANDS,350010,22094946,577505,34679979
NO,NORWAY,0,0,35110,2121306
QA,QATAR,306000,12423303,1045500,43449276
SA,SAUDI ARABIA,2001850,80253283,5621450,227228535
SG,SINGAPORE,1780552,79977673,4149452,189900898
CH,SWITZERLAND,0,0,49860,3077131
TW,"TAIWAN, PROVINCE OF CHINA",50804,788643,52804,1099809
TH,THAILAND,0,0,72000,3650907
AE,UNITED ARAB EMIRATES,219440,7835969,341720,11903267
GB,UNITED KINGDOM,0,0,5400,812882
US,UNITED STATES,21716,2615352,224667,15590166
VN,VIETNAM,0,0,2000,300100
SUM,SUM,10490871,466620114,24848164,1117145194
