"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2018', 'Quantity')","('Jul 2018', 'CIF (Baht)')","('Jan - Jul 2018', 'Quantity')","('Jan - Jul 2018', 'CIF (Baht)')"
BE,BELGIUM,0,0,14400,655409
CN,CHINA,0,0,30220,2430010
FR,FRANCE,180,59187,33174,4152244
DE,GERMANY,575,112883,5651,1050011
JP,JAPAN,15284,919489,276588,15001848
KR,"KOREA,REPUBLIC OF",73880,3553918,1509114,69941388
MY,MALAYSIA,0,0,18,4836
RU,RUSSIAN FEDERATION,0,0,16500,2706002
GB,UNITED KINGDOM,0,0,0,385
US,UNITED STATES,2,1919,368,174571
SUM,SUM,89921,4647396,1886033,96116704
