"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2015', 'Quantity')","('Feb 2015', 'CIF (Baht)')","('Jan - Feb 2015', 'Quantity')","('Jan - Feb 2015', 'CIF (Baht)')"
AT,AUSTRIA,640,237187,1290,531338
BE,BELGIUM,105000,7927610,111500,8877962
CA,CANADA,3250,710366,4750,1106035
CN,CHINA,211080,9262795,601907,25178617
FR,FRANCE,0,0,1423,158004
DE,GERMANY,14225,1449064,159341,11675116
IN,INDIA,2000,208596,13000,1177594
IT,ITALY,2000,686123,4025,973345
JP,JAPAN,301180,30781125,552874,58086283
KP,KOREA DPR,0,0,14000,716785
KR,"KOREA,REPUBLIC OF",160570,8262976,569145,30328408
MY,MALAYSIA,525,44438,1775,157604
QA,QATAR,76500,2846578,892500,42734502
SA,SAUDI ARABIA,170100,6477717,297700,12264273
SG,SINGAPORE,1883100,102098793,4022324,217007377
ES,SPAIN,0,0,19800,1640207
TW,"TAIWAN, PROVINCE OF CHINA",43900,2555297,139391,8388976
TH,THAILAND,25500,671662,25537,683969
AE,UNITED ARAB EMIRATES,470450,17542749,866950,33961474
GB,UNITED KINGDOM,25,11099,25,11099
US,UNITED STATES,906409,77286547,2553986,219286769
VN,VIETNAM,0,0,10100,862446
SUM,SUM,4376454,269060722,10863343,675808183
