"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2015', 'Quantity')","('Dec 2015', 'CIF (Baht)')","('Jan - Dec 2015', 'Quantity')","('Jan - Dec 2015', 'CIF (Baht)')"
AU,AUSTRALIA,22420,2197114,22500,2203312
BE,BELGIUM,49722,2695482,891588,45146659
CN,CHINA,88008,6812558,906706,65765911
FR,FRANCE,0,0,1,1633
DE,GERMANY,24,10530,224,19261
ID,INDONESIA,22550,2021333,320220,25706179
IL,ISRAEL,0,0,16886,1514890
JP,JAPAN,0,0,7935289,451447766
KR,"KOREA,REPUBLIC OF",22000,1161952,440475,22694895
KW,KUWAIT,148500,6316638,1757250,73977796
MY,MALAYSIA,264000,12220882,16009725,727479086
MX,MEXICO,1350,668649,1350,668649
NL,NETHERLANDS,69500,3533967,416000,21255385
PH,PHILIPPINES,0,0,240125,10222979
QA,QATAR,357000,14935736,2397000,102058712
SA,SAUDI ARABIA,2655500,113312924,28618250,1228497581
SG,SINGAPORE,363484,16290014,3973094,182082660
ES,SPAIN,0,0,342500,19185010
TW,"TAIWAN, PROVINCE OF CHINA",0,0,197500,10450152
TH,THAILAND,680,161652,705,165753
AE,UNITED ARAB EMIRATES,717750,30705725,6459550,272286149
US,UNITED STATES,72955,4420069,1283982,89795284
VN,VIETNAM,0,0,79,12626
SUM,SUM,4855443,217465225,72230999,3352638328
