"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2022', 'Quantity')","('Jul 2022', 'CIF (Baht)')","('Jan - Jul 2022', 'Quantity')","('Jan - Jul 2022', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,2700,149871
AT,AUSTRIA,0,0,22500,1829969
BE,BELGIUM,592410,51469884,4058915,310964081
BR,BRAZIL,0,0,8853,1463965
CN,CHINA,252526,22320529,1597804,120900280
CZ,CZECH REPUBLIC,22,16508,22,16508
FR,FRANCE,1000,241575,51325,3754046
DE,GERMANY,71980,8748792,461763,51101408
HK,HONG KONG,0,0,101,29557
IN,INDIA,303676,18649268,1567091,94546547
ID,INDONESIA,59251,6929489,315563,34163743
IT,ITALY,500,54549,500,54549
JP,JAPAN,573456,41336753,7250172,579545966
KR,"KOREA,REPUBLIC OF",1257050,69349678,12112750,597955285
MY,MALAYSIA,2477,330994,327897,29592412
NL,NETHERLANDS,283250,29678581,924875,87444687
SA,SAUDI ARABIA,532690,25381511,4551510,212121857
SG,SINGAPORE,3427960,204386491,23911396,1372044507
ES,SPAIN,0,0,26270,2801652
CH,SWITZERLAND,0,0,34560,2386564
TW,"TAIWAN, PROVINCE OF CHINA",52240,3128580,568025,38778805
TH,THAILAND,0,0,2000,191069
AE,UNITED ARAB EMIRATES,544500,24733683,3932600,181233607
GB,UNITED KINGDOM,0,0,1850,916289
US,UNITED STATES,37619,4514072,347087,43330963
VN,VIETNAM,5250,281509,9775,953641
SUM,SUM,7997857,511552446,62087904,3768271828
