"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2020', 'Quantity')","('Oct 2020', 'CIF (Baht)')","('Jan - Oct 2020', 'Quantity')","('Jan - Oct 2020', 'CIF (Baht)')"
CN,CHINA,43700,2636248,348850,23213631
FI,FINLAND,500,41607,500,41607
JP,JAPAN,153000,7166552,2351000,152638060
KR,"KOREA,REPUBLIC OF",463000,21957691,3878250,191623818
MY,MALAYSIA,0,0,266000,17259278
SG,SINGAPORE,0,0,25000,2499442
AE,UNITED ARAB EMIRATES,210000,8286496,6440900,226252856
GB,UNITED KINGDOM,31000,2549826,45000,3491699
US,UNITED STATES,372931,14335512,4446940,206659598
VN,VIETNAM,0,0,215625,9941122
SUM,SUM,1274131,56973932,18018065,833621111
